__time,/fmu/out/vehicle_odometry/angular_velocity[0],/fmu/out/vehicle_odometry/angular_velocity[1],/fmu/out/vehicle_odometry/angular_velocity[2],/fmu/out/vehicle_odometry/orientation_variance[0],/fmu/out/vehicle_odometry/orientation_variance[1],/fmu/out/vehicle_odometry/orientation_variance[2],/fmu/out/vehicle_odometry/pose_frame,/fmu/out/vehicle_odometry/position[0],/fmu/out/vehicle_odometry/position[1],/fmu/out/vehicle_odometry/position[2],/fmu/out/vehicle_odometry/position_variance[0],/fmu/out/vehicle_odometry/position_variance[1],/fmu/out/vehicle_odometry/position_variance[2],/fmu/out/vehicle_odometry/q[0],/fmu/out/vehicle_odometry/q[1],/fmu/out/vehicle_odometry/q[2],/fmu/out/vehicle_odometry/q[3],/fmu/out/vehicle_odometry/quality,/fmu/out/vehicle_odometry/reset_counter,/fmu/out/vehicle_odometry/timestamp,/fmu/out/vehicle_odometry/timestamp_sample,/fmu/out/vehicle_odometry/velocity[0],/fmu/out/vehicle_odometry/velocity[1],/fmu/out/vehicle_odometry/velocity[2],/fmu/out/vehicle_odometry/velocity_frame,/fmu/out/vehicle_odometry/velocity_variance[0],/fmu/out/vehicle_odometry/velocity_variance[1],/fmu/out/vehicle_odometry/velocity_variance[2],/uav/target_position/x,/uav/target_position/y,/uav/target_position/z
1777391625.019928,0.016018676,-0.101479672,-0.009331862,0.000020888,0.000018578,0.000065205,1.000000000,-7.557194710,-0.894474864,-9.991831779,0.011434118,0.011429139,0.026058808,0.772813320,-0.027479568,-0.044143077,0.632499695,0.000000000,14.000000000,1777391625019969.000000000,1777391625014969.000000000,0.423389137,-2.018061399,0.006752543,1.000000000,0.003084719,0.003145076,0.002062563,,,
1777391625.024483,0.015262275,-0.102625042,-0.010137759,0.000020851,0.000018527,0.000065167,1.000000000,-7.555109501,-0.904027998,-9.991837502,0.011225938,0.011220483,0.025833726,0.772818804,-0.027283709,-0.044319682,0.632489085,0.000000000,14.000000000,1777391625024969.000000000,1777391625019969.000000000,0.428215951,-2.016176224,0.006779874,1.000000000,0.003020352,0.003079101,0.002047236,,,
1777391625.031542,0.015343207,-0.102780923,-0.010477519,0.000020857,0.000018530,0.000065176,1.000000000,-7.553004265,-0.913617194,-9.991837502,0.011244298,0.011238924,0.025856433,0.772824526,-0.027086804,-0.044496834,0.632478178,0.000000000,14.000000000,1777391625027469.000000000,1777391625024969.000000000,0.433068454,-2.014289379,0.006778009,1.000000000,0.003025176,0.003084349,0.002048120,,,
1777391625.032099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.270987114,-3.925620800,-9.985322952
1777391625.034401,0.017680276,-0.104947217,-0.009773712,0.000020876,0.000018541,0.000065205,1.000000000,-7.549826145,-0.927745879,-9.991853714,0.011299645,0.011294522,0.025924714,0.772830486,-0.026779700,-0.044763193,0.632465065,0.000000000,14.000000000,1777391625034969.000000000,1777391625032469.000000000,0.440256387,-2.011246920,0.006770301,1.000000000,0.003041212,0.003101665,0.002052305,,,
1777391625.039667,0.018081531,-0.105100848,-0.011439407,0.000020889,0.000018549,0.000065226,1.000000000,-7.548770905,-0.932290673,-9.991871834,0.011336769,0.011331822,0.025970366,0.772833824,-0.026675029,-0.044852864,0.632459283,0.000000000,14.000000000,1777391625039969.000000000,1777391625034969.000000000,0.442640513,-2.010103941,0.006773986,1.000000000,0.003052443,0.003113744,0.002055604,,,
1777391625.044502,0.017445778,-0.104915433,-0.010598803,0.000020903,0.000018557,0.000065246,1.000000000,-7.546588898,-0.941829085,-9.991874695,0.011374078,0.011369311,0.026016122,0.772839427,-0.026471023,-0.045030579,0.632448316,0.000000000,14.000000000,1777391625044969.000000000,1777391625039969.000000000,0.447420746,-2.008130074,0.006828725,1.000000000,0.003063707,0.003125862,0.002058904,,,
1777391625.051657,0.018227017,-0.105181113,-0.010533461,0.000020909,0.000018560,0.000065255,1.000000000,-7.544386864,-0.951401234,-9.991870880,0.011392806,0.011388132,0.026039038,0.772844851,-0.026264919,-0.045207661,0.632437527,0.000000000,14.000000000,1777391625047469.000000000,1777391625044969.000000000,0.452178031,-2.006178617,0.006867730,1.000000000,0.003068584,0.003131169,0.002059788,,,
1777391625.052101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.228479187,-3.917087610,-9.985322952
1777391625.054458,0.018836834,-0.105558664,-0.010436777,0.000020922,0.000018568,0.000065275,1.000000000,-7.543301105,-0.955939233,-9.991888046,0.011430392,0.011425909,0.026084952,0.772847176,-0.026159219,-0.045297112,0.632432699,0.000000000,14.000000000,1777391625052469.000000000,1777391625047469.000000000,0.454545826,-2.005025148,0.006852440,1.000000000,0.003079885,0.003143331,0.002063087,,,
