__time,/fmu/out/vehicle_odometry/angular_velocity[0],/fmu/out/vehicle_odometry/angular_velocity[1],/fmu/out/vehicle_odometry/angular_velocity[2],/fmu/out/vehicle_odometry/orientation_variance[0],/fmu/out/vehicle_odometry/orientation_variance[1],/fmu/out/vehicle_odometry/orientation_variance[2],/fmu/out/vehicle_odometry/pose_frame,/fmu/out/vehicle_odometry/position[0],/fmu/out/vehicle_odometry/position[1],/fmu/out/vehicle_odometry/position[2],/fmu/out/vehicle_odometry/position_variance[0],/fmu/out/vehicle_odometry/position_variance[1],/fmu/out/vehicle_odometry/position_variance[2],/fmu/out/vehicle_odometry/q[0],/fmu/out/vehicle_odometry/q[1],/fmu/out/vehicle_odometry/q[2],/fmu/out/vehicle_odometry/q[3],/fmu/out/vehicle_odometry/quality,/fmu/out/vehicle_odometry/reset_counter,/fmu/out/vehicle_odometry/timestamp,/fmu/out/vehicle_odometry/timestamp_sample,/fmu/out/vehicle_odometry/velocity[0],/fmu/out/vehicle_odometry/velocity[1],/fmu/out/vehicle_odometry/velocity[2],/fmu/out/vehicle_odometry/velocity_frame,/fmu/out/vehicle_odometry/velocity_variance[0],/fmu/out/vehicle_odometry/velocity_variance[1],/fmu/out/vehicle_odometry/velocity_variance[2],/model/payload_ball/pose/header/header/stamp,/model/payload_ball/pose/pose/orientation/pitch,/model/payload_ball/pose/pose/orientation/roll,/model/payload_ball/pose/pose/orientation/w,/model/payload_ball/pose/pose/orientation/x,/model/payload_ball/pose/pose/orientation/y,/model/payload_ball/pose/pose/orientation/yaw,/model/payload_ball/pose/pose/orientation/z,/model/payload_ball/pose/pose/position/x,/model/payload_ball/pose/pose/position/y,/model/payload_ball/pose/pose/position/z,/uav/target_position/x,/uav/target_position/y,/uav/target_position/z
1777445871.374096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.410000000,1.254824838,-0.117550497,0.808882324,-0.024471374,0.587454994,-0.078670134,0.002677096,3.828141160,-5.685376067,10.103525718,,,
1777445871.379026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.415000000,1.254804294,-0.117607303,0.808887709,-0.024476653,0.587447403,-0.078732700,0.002667753,3.827842643,-5.690742976,10.103476619,,,
1777445871.380444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.559124107,2.496298382,-9.995555878
1777445871.381594,-0.008145910,0.006794071,0.003306984,0.000025195,0.000016321,0.000421137,1.000000000,-5.801835537,3.733070374,-9.988716125,0.011400308,0.011337245,0.026370827,0.707216799,-0.023017375,0.018613538,0.706376731,0.000000000,14.000000000,1777445871333849.000000000,1777445871333849.000000000,-1.061452627,-0.141302586,-0.007379925,1.000000000,0.003500089,0.003056539,0.002119018,,,,,,,,,,,,,,
1777445871.383693,-0.008111032,0.005168272,0.002060954,0.000025200,0.000016324,0.000421151,1.000000000,-5.807157516,3.732424259,-9.988718033,0.011419812,0.011355877,0.026338290,0.707216620,-0.023040604,0.018608306,0.706376374,0.000000000,14.000000000,1777445871338849.000000000,1777445871338849.000000000,-1.060350418,-0.144452587,-0.007415281,1.000000000,0.003506607,0.003061701,0.002118179,,,,,,,,,,,,,,
1777445871.384074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.420000000,1.254782989,-0.117667974,0.808893272,-0.024482361,0.587439549,-0.078799213,0.002657920,3.827528582,-5.696104614,10.103427570,,,
1777445871.388912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.425000000,1.254760999,-0.117732612,0.808898992,-0.024488504,0.587431463,-0.078869788,0.002647584,3.827198973,-5.701460976,10.103378555,,,
1777445871.389075,-0.007230813,0.004826676,0.001930764,0.000025224,0.000016342,0.000421215,1.000000000,-5.815123081,3.731462002,-9.988697052,0.011498349,0.011430856,0.026433161,0.707219362,-0.023072990,0.018601345,0.706372738,0.000000000,14.000000000,1777445871346349.000000000,1777445871346349.000000000,-1.058671713,-0.149110615,-0.007436012,1.000000000,0.003535737,0.003085490,0.002125143,,,,,,,,,,,,,,
1777445871.393986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.430000000,1.254738407,-0.117801268,0.808904843,-0.024495081,0.587423181,-0.078944488,0.002636738,3.826853812,-5.706812055,10.103329570,,,
1777445871.394169,-0.007518128,0.004445363,0.002811668,0.000025229,0.000016345,0.000421230,1.000000000,-5.820430279,3.730776072,-9.988700867,0.011518124,0.011449723,0.026456948,0.707217932,-0.023093859,0.018595926,0.706373692,0.000000000,14.000000000,1777445871351349.000000000,1777445871351349.000000000,-1.057543874,-0.152271912,-0.007455471,1.000000000,0.003542297,0.003090696,0.002126121,,,,,,,,,,,,,,
